Year,Reporting Period,Filing Date,Filing Record Identifier,Filing Type,Correction Type,Political Consultant (PC) Name,PC Business Name,PC Business Address 1,PC Business City,PC Business State,PC Business Zip Code,PC Business County,PC Business Country,PC Business Telephone Number,Client Type,Client Name,Office Held/Sought,Client Business Address 1,Client Business City,Client Business State,Client Business Zip Code,Client Business Country,Client Business Telephone Number,Name of Person with Controlling Interest in Business,Description of Services Provided,Registration ID,Reporting Period ID
2016,JULY 1 - DECEMBER 31,2017-02-03T00:00:00,PCF-201701241000002,PUBLIC DISCLOSURE,,"MIRANDA, LUIS A JR",MIRRAM GROUP LLC,215 PARK AVE SOUTH 15TH FL,NEW YORK,NEW YORK,10003,NEW YORK,UNITED STATES,212-544-2200,PUBLIC OFFICIAL/CANDIDATE,"ALCANTARA, MARISOL  ",NYS SENATE 31ST DISTRICT ,5030 BROADWAY,NEW YORK,NEW YORK,10034,UNITED STATES,212-304-0200,,DIRECT VOTER CONTACT - MAIL AND MEDIA,PC-201701241000002,2
2016,JULY 1 - DECEMBER 31,2017-02-03T00:00:00,PCF-201701241000002,PUBLIC DISCLOSURE,,"MIRANDA, LUIS A JR",MIRRAM GROUP LLC,215 PARK AVE SOUTH 15TH FL,NEW YORK,NEW YORK,10003,NEW YORK,UNITED STATES,212-544-2200,PUBLIC OFFICIAL/CANDIDATE,"CARLUCCI, DAVID  ",NYS SENATE 38TH DISTRICT ,PO BOX 833,NANUET,NEW YORK,10954,UNITED STATES,845-708-5815,,TV COMMERCIAL,PC-201701241000002,2
2016,JULY 1 - DECEMBER 31,2017-02-03T00:00:00,PCF-201701241000002,PUBLIC DISCLOSURE,,"MIRANDA, LUIS A JR",MIRRAM GROUP LLC,215 PARK AVE SOUTH 15TH FL,NEW YORK,NEW YORK,10003,NEW YORK,UNITED STATES,212-544-2200,PUBLIC OFFICIAL/CANDIDATE,"CRESPO, MARCOS A ",NYS ASSEMBLY 85TH DISTRICT ,721 VINCENT AVE,BRONX,NEW YORK,10465,UNITED STATES,347-281-9759,,DIRECT MAIL ,PC-201701241000002,2
2016,JULY 1 - DECEMBER 31,2017-02-03T00:00:00,PCF-201701241000002,PUBLIC DISCLOSURE,,"MIRANDA, LUIS A JR",MIRRAM GROUP LLC,215 PARK AVE SOUTH 15TH FL,NEW YORK,NEW YORK,10003,NEW YORK,UNITED STATES,212-544-2200,PUBLIC OFFICIAL/CANDIDATE,"DE LA ROSA, CARMEN  ",NYS ASSEMBLY 72ND DISTRICT ,452 FORTH WASHINGTON AVE APT 46,NEW YORK,NEW YORK,10033,UNITED STATES,646-200-2101,,DIRECT MAIL,PC-201701241000002,2
2016,JULY 1 - DECEMBER 31,2017-02-03T00:00:00,PCF-201701241000002,PUBLIC DISCLOSURE,,"MIRANDA, LUIS A JR",MIRRAM GROUP LLC,215 PARK AVE SOUTH 15TH FL,NEW YORK,NEW YORK,10003,NEW YORK,UNITED STATES,212-544-2200,PUBLIC OFFICIAL/CANDIDATE,"FERRERAS-COPELAND, JULISSA  ",NYC COUNCIL DISTRICT 21,2440 97TH ST,EAST ELMHURST,NEW YORK,11369,UNITED STATES,917-251-7005,,COMPLIANCE,PC-201701241000002,2
2016,JULY 1 - DECEMBER 31,2017-02-03T00:00:00,PCF-201701241000002,PUBLIC DISCLOSURE,,"MIRANDA, LUIS A JR",MIRRAM GROUP LLC,215 PARK AVE SOUTH 15TH FL,NEW YORK,NEW YORK,10003,NEW YORK,UNITED STATES,212-544-2200,PUBLIC OFFICIAL/CANDIDATE,"JAMES, LETITIA  ",NYC PUBLIC ADVOCATE ,5030 BROADWAY SUITE 810,NEW YORK,NEW YORK,10034,UNITED STATES,212-740-6100,,COMPLIANCE,PC-201701241000002,2
2016,JULY 1 - DECEMBER 31,2017-02-03T00:00:00,PCF-201701241000002,PUBLIC DISCLOSURE,,"MIRANDA, LUIS A JR",MIRRAM GROUP LLC,215 PARK AVE SOUTH 15TH FL,NEW YORK,NEW YORK,10003,NEW YORK,UNITED STATES,212-544-2200,PUBLIC OFFICIAL/CANDIDATE,"KLEIN, JEFFREY D ",NYS SENATE 34TH DISTRICT,2018 WLLIAMSBRIDGE RD,BRONX,NEW YORK,10461,UNITED STATES,718-684-2074,,DIRECT MAIL,PC-201701241000002,2
2016,JULY 1 - DECEMBER 31,2017-02-03T00:00:00,PCF-201701241000002,PUBLIC DISCLOSURE,,"MIRANDA, LUIS A JR",MIRRAM GROUP LLC,215 PARK AVE SOUTH 15TH FL,NEW YORK,NEW YORK,10003,NEW YORK,UNITED STATES,212-544-2200,CLIENT BUSINESS NAME,1-10 BUSH TERMINAL OWNER LP,,220 36TH ST STE 2A,BROOKLYN,NEW YORK,11232,UNITED STATES,718-965-6450,"KIMBALL, ANDREW  ",STRATEGIC COUNSEL- NYC COUNCIL,PC-201701241000002,2
2016,JULY 1 - DECEMBER 31,2017-02-03T00:00:00,PCF-201701241000002,PUBLIC DISCLOSURE,,"MIRANDA, LUIS A JR",MIRRAM GROUP LLC,215 PARK AVE SOUTH 15TH FL,NEW YORK,NEW YORK,10003,NEW YORK,UNITED STATES,212-544-2200,CLIENT BUSINESS NAME,19-20 BUSH TERMINAL OWNER LP,,220 36TH ST STE 2A,BROOKLYN,NEW YORK,11232,UNITED STATES,718-965-6450,"KIMBALL, ANDREW  ",STRATEGIC COUNSEL- NYC COUNCIL,PC-201701241000002,2
2016,JULY 1 - DECEMBER 31,2017-02-03T00:00:00,PCF-201701241000002,PUBLIC DISCLOSURE,,"MIRANDA, LUIS A JR",MIRRAM GROUP LLC,215 PARK AVE SOUTH 15TH FL,NEW YORK,NEW YORK,10003,NEW YORK,UNITED STATES,212-544-2200,CLIENT BUSINESS NAME,2520 JEROME LLC,,225 WILLOW AVE,BRONX,NEW YORK,10454,UNITED STATES,718-292-6400,"SEGAL, AARON  ",STRATEGIC COUNSEL (BUDGET) - NYC COUNCIL AND CITY AGENCIES ,PC-201701241000002,2
